Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Fwd IAT Total,Bwd IAT Total,Fwd PSH Flags,Bwd PSH Flags,Fwd Header Length,Bwd Header Length
1727337116.321661,3987,0,3796869,0,1258,50,952.3122648607975,445.67928000947745,0,inf,0,[],0,0,0,0,0,0,0,79740,0
1727337116.322208,237,0,23402,0,150,52,98.74261603375527,23.033257051826265,0,inf,0,[],0,0,0,0,0,0,0,4740,0
1727337116.914320,8,0,2900,0,364,352,362.5,4.242640687119285,0,inf,0,[],0,0,0,0,0,0,0,160,0
1727337117.219281,139,0,32717,0,278,52,235.37410071942446,44.96057425578628,0,inf,0,[],0,0,0,0,0,0,0,2780,0
1727337118.118619,177,0,39936,0,271,50,225.6271186440678,51.78338788067672,0,inf,0,[],0,0,0,0,0,0,0,3540,0
1727337118.601409,1,0,179,0,179,179,179.0,,0,inf,0,[],0,0,0,0,0,0,0,20,0
1727337120.148167,5,0,357,0,141,54,71.4,38.90758280849634,0,inf,0,[],0,0,0,0,0,0,0,100,0
1727337120.148361,4,0,301,0,108,54,75.25,26.272609310839304,0,inf,0,[],0,0,0,0,0,0,0,80,0
1727337121.260626,4,0,228,0,66,54,57.0,6.0,0,inf,0,[],0,0,0,0,0,0,0,80,0
1727337121.260867,4,0,228,0,66,54,57.0,6.0,0,inf,0,[],0,0,0,0,0,0,0,80,0
1727337121.261126,3,0,174,0,66,54,58.0,6.928203230275509,0,inf,0,[],0,0,0,0,0,0,0,60,0
1727337121.262801,2,0,120,0,66,54,60.0,8.48528137423857,0,inf,0,[],0,0,0,0,0,0,0,40,0
1727337121.270686,2,0,120,0,66,54,60.0,8.48528137423857,0,inf,0,[],0,0,0,0,0,0,0,40,0
1727337121.270686,1,0,66,0,66,66,66.0,,0,inf,0,[],0,0,0,0,0,0,0,20,0
1727337121.274073,241,0,29179,0,345,54,121.0746887966805,47.247162860221025,0,inf,0,[],0,0,0,0,0,0,0,4820,0
1727337121.278333,4,0,228,0,66,54,57.0,6.0,0,inf,0,[],0,0,0,0,0,0,0,80,0
1727337121.278596,4,0,228,0,66,54,57.0,6.0,0,inf,0,[],0,0,0,0,0,0,0,80,0
1727337121.278773,3,0,174,0,66,54,58.0,6.928203230275509,0,inf,0,[],0,0,0,0,0,0,0,60,0
1727337121.285023,2,0,120,0,66,54,60.0,8.48528137423857,0,inf,0,[],0,0,0,0,0,0,0,40,0
1727337121.285023,2,0,120,0,66,54,60.0,8.48528137423857,0,inf,0,[],0,0,0,0,0,0,0,40,0
1727337121.285023,1,0,66,0,66,66,66.0,,0,inf,0,[],0,0,0,0,0,0,0,20,0
1727337121.317254,234,0,48107,0,1506,54,205.5854700854701,172.61993766104843,0,inf,0,[],0,0,0,0,0,0,0,4680,0
1727337122.840911,6,0,498,0,112,54,83.0,31.767908335299634,0,inf,0,[],0,0,0,0,0,0,0,120,0
1727337122.961128,3,0,303,0,101,101,101.0,0.0,0,inf,0,[],0,0,0,0,0,0,0,60,0
1727337122.966116,1562,0,348084,0,281,50,222.8450704225352,55.03055180237109,0,inf,0,[],0,0,0,0,0,0,0,31240,0
1727337123.000999,1488,0,327996,0,285,50,220.42741935483872,59.157911398469224,0,inf,0,[],0,0,0,0,0,0,0,29760,0
1727337123.056292,44,0,4678,0,110,92,106.31818181818181,7.3445842324510595,0,inf,0,[],0,0,0,0,0,0,0,880,0
1727337126.163516,52,0,4778,0,175,75,91.88461538461539,30.364875119546287,0,inf,0,[],0,0,0,0,0,0,0,1040,0
1727337126.378723,4,0,716,0,179,179,179.0,0.0,0,inf,0,[],0,0,0,0,0,0,0,80,0
1727337126.951599,17768,0,15672777,0,1259,50,882.0788496172895,463.0972538263144,0,inf,0,[],0,0,0,0,0,0,0,355360,0
1727337126.994609,1181,0,114836,0,154,52,97.23624047417442,19.740758166104758,0,inf,0,[],0,0,0,0,0,0,0,23620,0
1727337127.291973,8,0,432,0,54,54,54.0,0.0,0,inf,0,[],0,0,0,0,0,0,0,160,0
1727337127.292091,4,0,216,0,54,54,54.0,0.0,0,inf,0,[],0,0,0,0,0,0,0,80,0
1727337133.841989,10,0,3784,0,1506,54,378.4,510.91860625957065,0,inf,0,[],0,0,0,0,0,0,0,200,0
